ip,status
66.249.66.144,null
66.249.66.145,null
66.249.66.146,null
66.249.66.147,null
66.249.66.148,null
66.249.66.149,null
66.249.66.150,null
66.249.66.151,null
66.249.66.152,null
66.249.66.153,null
66.249.66.154,null
66.249.66.155,null
66.249.66.156,null
66.249.66.157,null
66.249.66.158,null
66.249.66.159,null
66.249.66.160,null
66.249.66.161,null
66.249.66.162,null
66.249.66.163,null
66.249.66.164,null
66.249.66.165,null
66.249.66.166,null
66.249.66.167,null
66.249.66.168,null
66.249.66.169,null
66.249.66.170,null
66.249.66.171,null
66.249.66.172,null
66.249.66.173,null
66.249.66.174,null
66.249.66.175,null
66.249.66.176,null
66.249.66.177,null
66.249.66.178,null
66.249.66.179,null
66.249.66.180,null
66.249.66.181,null
66.249.66.182,null
66.249.66.183,null
66.249.66.184,null
66.249.66.185,null
66.249.66.186,null
66.249.66.187,null
66.249.66.188,null
66.249.66.189,null
66.249.66.190,null
66.249.66.191,null
66.249.66.192,null
66.249.66.193,null
66.249.66.194,null
66.249.66.195,null
66.249.66.196,null
66.249.66.197,null
66.249.66.198,null
66.249.66.199,null
66.249.66.200,null
66.249.66.201,null
66.249.66.202,null
66.249.66.203,null
66.249.66.204,null
66.249.66.205,null
66.249.66.206,null
66.249.66.207,null
66.249.66.208,null
66.249.66.209,null
66.249.66.210,null
66.249.66.211,null
66.249.66.212,null
66.249.66.213,null
66.249.66.214,null
66.249.66.215,null
66.249.66.216,null
66.249.66.217,null
66.249.66.218,null
66.249.66.219,null
66.249.66.220,null
66.249.66.221,null
66.249.66.222,null
66.249.66.223,null
66.249.66.224,null
66.249.66.225,null
66.249.66.226,null
66.249.66.227,null
66.249.66.228,null
66.249.66.229,null
66.249.66.230,null
66.249.66.231,null
66.249.66.232,null
66.249.66.233,null
66.249.66.234,null
66.249.66.235,null
66.249.66.236,null
66.249.66.237,null
66.249.66.238,null
66.249.66.239,null
66.249.66.240,null
66.249.66.241,null
66.249.66.242,null
66.249.66.243,null
66.249.66.244,null
66.249.66.246,null
66.249.66.247,null
66.249.66.248,null
66.249.66.249,null
66.249.66.250,null
66.249.66.251,null
66.249.66.253,null
66.249.66.254,null
66.249.67.1,null
66.249.67.2,null
66.249.67.4,null
66.249.67.6,null
66.249.67.7,null
66.249.67.8,null
66.249.67.9,null
66.249.67.10,null
66.249.67.13,null
66.249.67.14,null
66.249.67.15,null
66.249.67.16,null
66.249.67.17,null
66.249.67.18,null
66.249.67.19,null
66.249.67.20,null
66.249.67.21,null
66.249.67.22,null
66.249.67.23,null
66.249.67.24,null
66.249.67.25,null
66.249.67.26,null
66.249.67.27,null
66.249.67.28,null
66.249.67.29,null
66.249.67.30,null
66.249.67.31,null
66.249.67.32,null
66.249.67.33,null
66.249.67.34,null
66.249.67.35,null
66.249.67.36,null
66.249.67.37,null
66.249.67.38,null
66.249.67.39,null
66.249.67.40,null
66.249.67.41,null
66.249.67.42,null
66.249.67.43,null
66.249.67.44,null
66.249.67.45,null
66.249.67.46,null
66.249.67.47,null
66.249.67.48,null
66.249.67.49,null
66.249.67.50,null
66.249.67.51,null
66.249.67.52,null
66.249.67.53,null
66.249.67.54,null
66.249.67.55,null
66.249.67.56,null
66.249.67.57,null
66.249.67.58,null
66.249.67.59,null
66.249.67.60,null
66.249.67.61,null
66.249.67.62,null
66.249.67.63,null
66.249.67.64,null
66.249.67.65,null
66.249.67.66,null
66.249.67.67,null
66.249.67.68,null
66.249.67.69,null
66.249.67.70,null
66.249.67.71,null
66.249.67.72,null
66.249.67.73,null
66.249.67.74,null
66.249.67.75,null
66.249.67.76,null
66.249.67.77,null
66.249.67.78,null
66.249.67.79,null
66.249.67.80,null
66.249.67.81,null
66.249.67.82,null
66.249.67.83,null
66.249.67.84,null
66.249.67.85,null
66.249.67.86,null
66.249.67.87,null
66.249.67.88,null
66.249.67.89,null
66.249.67.90,null
66.249.67.91,null
66.249.67.92,null
66.249.67.93,null
66.249.67.94,null
66.249.67.95,null
66.249.67.96,null
66.249.67.97,null
66.249.67.98,null
66.249.67.99,null
66.249.67.100,null
